,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
3281,3281,8964800025,20150226T000000,1965000.0,5.0,3.75,3940,13738,1.5,0,3,4,9,3940,0,1951,0,98004,47.6203,-122.212,2370,13320,"[1029, 1116, 1250, 1258, 1259, 1388]","[665, 666, 696, 702, 740, 835]","[594, 618, 619, 634, 703, 703]","[1181, 2452, 2831, 3523, 4031, 4264]","[956, 1113, 1196, 1357, 1384, 1399]","[2254, 2275, 2862, 4232, 4413, 5151]","[554, 644, 1003, 1589, 1812, 2052]","[1539, 3693, 3732, 5205, 5938, 5974]","[827, 861, 874, 934, 989, 1008]"
3344,3344,3861470110,20140623T000000,2075000.0,4.0,3.5,4230,20377,2.0,0,0,3,11,4230,0,1997,0,98004,47.5954,-122.206,3980,20489,"[373, 388, 1057, 1311, 1401, 1459]","[1376, 1673, 1724, 1734, 1742, 2034]","[1376, 1611, 1630, 1640, 1643, 1646]","[1711, 1862, 1979, 2508, 2716, 3624]","[1555, 1695, 1725, 1760, 1902, 1931]","[1897, 4097, 4442, 4752, 5055, 5078]","[1894, 2314, 2550, 2580, 2612, 2626]","[1058, 3446, 3490, 4987, 6183, 6292]","[1661, 1671, 1828, 2136, 2172, 2248]"
3386,3386,3025059089,20150505T000000,950000.0,3.0,1.5,1700,8050,1.0,0,0,3,7,1130,570,1950,0,98004,47.6304,-122.218,2920,12239,"[714, 1424, 1722, 1733, 1783, 1783]","[680, 691, 1373, 1757, 1792, 1821]","[722, 734, 1364, 1379, 1628, 1643]","[1314, 1508, 1703, 4368, 4591, 5117]","[1846, 1952, 2009, 2143, 2197, 2200]","[1078, 1115, 2186, 3231, 4569, 4809]","[1199, 1380, 1463, 1630, 2718, 2832]","[1529, 2890, 4514, 4940, 5405, 5770]","[1859, 1910, 1960, 2024, 2083, 2114]"
3399,3399,249000115,20140828T000000,650000.0,3.0,1.0,1300,8266,1.0,0,0,4,7,1300,0,1953,0,98004,47.6337,-122.199,1300,8707,"[772, 1095, 1104, 1570, 2178, 2343]","[205, 492, 1505, 1586, 1699, 1734]","[137, 145, 794, 945, 1124, 1258]","[667, 2816, 2867, 2977, 4020, 4556]","[1050, 1094, 1479, 1536, 1568, 1640]","[1149, 1577, 1632, 2741, 3912, 3960]","[172, 809, 1736, 2023, 2338, 2377]","[2014, 2895, 4910, 5039, 5389, 5392]","[1770, 1821, 1912, 1956, 1997, 2041]"
3438,3438,7000100711,20140621T000000,1100000.0,3.0,2.5,2200,20000,1.0,0,1,3,7,1400,800,1952,0,98004,47.5809,-122.191,3050,11775,"[897, 964, 1315, 1530, 1597, 1747]","[1555, 1694, 1789, 1799, 1912, 2613]","[1414, 1415, 1583, 1584, 1609, 1610]","[396, 510, 1369, 1788, 2445, 2646]","[1392, 2070, 2094, 2237, 2299, 2564]","[2124, 2652, 3535, 3960, 5915, 6306]","[1398, 1774, 1787, 3157, 3290, 3317]","[926, 1608, 3995, 4421, 4957, 5029]","[1712, 2751, 2919, 3362, 3374, 3419]"
3463,3463,7768700315,20140630T000000,1230000.0,3.0,1.75,2200,14630,1.5,0,1,3,8,2200,0,1948,2003,98004,47.6074,-122.213,2850,15803,"[397, 641, 662, 917, 1123, 1263]","[854, 983, 1062, 1094, 1148, 1203]","[592, 631, 679, 703, 742, 797]","[2445, 2998, 3056, 3295, 3319, 3404]","[706, 1199, 1351, 1699, 1778, 1892]","[2984, 3657, 3686, 4237, 4719, 5448]","[1194, 1346, 1381, 2197, 2295, 2433]","[2082, 2450, 4830, 5087, 5761, 5788]","[722, 847, 1277, 1289, 1300, 1311]"
3504,3504,7000100850,20140926T000000,569000.0,4.0,1.75,1230,7890,1.0,0,1,4,7,1090,140,1950,0,98004,47.5808,-122.189,2380,13176,"[854, 925, 1264, 1426, 1674, 1688]","[1420, 1545, 1639, 1649, 1912, 2463]","[1266, 1269, 1437, 1441, 1461, 1467]","[494, 540, 1511, 1717, 2360, 2587]","[1525, 2046, 2089, 2152, 2244, 2557]","[2274, 2510, 3417, 3828, 5766, 6156]","[1251, 1624, 1643, 3271, 3307, 3396]","[1010, 1475, 4077, 4324, 4832, 4881]","[1563, 2601, 2926, 3310, 3385, 3426]"
3526,3526,6448000090,20140512T000000,1575000.0,5.0,2.75,3650,20150,1.0,0,0,4,10,2360,1290,1975,0,98004,47.6215,-122.224,3220,19800,"[496, 1013, 1169, 1624, 1685, 1791]","[1540, 1542, 1558, 1569, 1572, 1579]","[1061, 1079, 1161, 1523, 1543, 1555]","[1738, 1869, 2260, 4350, 4814, 4839]","[1863, 1985, 2017, 2100, 2209, 2291]","[2105, 2158, 3219, 4312, 4526, 5465]","[586, 1456, 1693, 2280, 2408, 2961]","[645, 3963, 4219, 4314, 5084, 5434]","[1728, 1756, 1757, 1811, 1862, 1874]"
3643,3643,1561600025,20140603T000000,712500.0,3.0,1.5,1660,8797,1.0,0,0,4,7,1660,0,1956,0,98004,47.5892,-122.202,2350,10053,"[450, 800, 1096, 1445, 1651, 1757]","[1431, 2029, 2349, 2352, 2380, 2416]","[1434, 1637, 2008, 2043, 2299, 2302]","[1080, 1111, 1373, 2526, 2583, 2998]","[1575, 1604, 1749, 2010, 2069, 2242]","[1594, 3808, 3917, 4502, 5791, 5810]","[2349, 2467, 2525, 2582, 2829, 2938]","[426, 2811, 4185, 4419, 5655, 6013]","[2221, 2340, 2353, 2704, 2767, 2801]"
3685,3685,3861400061,20150213T000000,641000.0,3.0,1.75,1480,9603,1.0,0,0,3,7,1480,0,1952,0,98004,47.5915,-122.202,2660,10766,"[194, 848, 891, 1423, 1504, 1550]","[1271, 1808, 2095, 2125, 2161, 2376]","[1272, 1732, 1785, 1817, 2044, 2047]","[1207, 1349, 1614, 2394, 2501, 3217]","[1605, 1772, 1811, 1821, 1845, 1987]","[1755, 3859, 3946, 4471, 5541, 5560]","[2217, 2413, 2664, 2670, 2754, 2943]","[541, 2975, 3973, 4659, 5858, 6110]","[1995, 2084, 2098, 2512, 2547, 2642]"
3748,3748,4389201250,20140513T000000,2450000.0,5.0,4.0,4430,9000,2.0,0,0,3,10,4430,0,2013,0,98004,47.6168,-122.216,2470,9490,"[846, 996, 1013, 1173, 1257, 1560]","[829, 837, 861, 898, 907, 1055]","[841, 842, 908, 915, 944, 955]","[1669, 2517, 2991, 3573, 4053, 4054]","[1222, 1271, 1289, 1439, 1537, 1704]","[2596, 2628, 3340, 3998, 4662, 5253]","[254, 845, 1492, 1640, 2297, 2342]","[1313, 3480, 4161, 5067, 5586, 5803]","[1070, 1087, 1099, 1114, 1129, 1156]"
3788,3788,8562400025,20140916T000000,816000.0,3.0,1.5,1180,8545,1.0,0,0,3,8,1180,0,1952,0,98004,47.624,-122.2,1660,9000,"[284, 289, 588, 1213, 1270, 1691]","[566, 653, 757, 782, 805, 834]","[368, 371, 403, 411, 487, 502]","[430, 3018, 3155, 3207, 3691, 3779]","[493, 532, 702, 762, 922, 977]","[2228, 2249, 2268, 3802, 4275, 4623]","[385, 707, 1193, 1308, 1475, 1599]","[2464, 3093, 3966, 5226, 5817, 5857]","[692, 741, 833, 876, 917, 961]"
3807,3807,8146300025,20140813T000000,772000.0,4.0,2.5,2500,8680,1.0,0,0,4,7,1250,1250,1958,0,98004,47.6073,-122.192,2140,8680,"[404, 915, 953, 1008, 1078, 1314]","[309, 649, 681, 708, 752, 797]","[231, 285, 506, 551, 598, 647]","[1492, 1969, 2376, 2462, 3047, 3519]","[259, 599, 682, 927, 1032, 1133]","[3196, 3579, 3940, 4087, 4149, 4154]","[503, 862, 1196, 1329, 1591, 2324]","[2127, 3384, 4020, 4747, 4942, 5296]","[234, 853, 905, 925, 986, 1072]"
3888,3888,7963900100,20140912T000000,680000.0,3.0,2.5,2620,14248,2.0,0,0,4,8,1830,790,1977,0,98004,47.6281,-122.194,2620,12343,"[479, 490, 926, 1263, 1845, 2176]","[822, 926, 968, 974, 983, 1160]","[803, 843, 859, 861, 885, 909]","[515, 3141, 3295, 3314, 3378, 3830]","[380, 911, 967, 1025, 1103, 1123]","[1773, 2233, 2275, 3425, 3800, 4513]","[676, 891, 1296, 1339, 1612, 1752]","[2626, 3000, 4416, 4862, 5451, 5474]","[1271, 1311, 1403, 1411, 1431, 1458]"
3914,3914,9808700762,20140611T000000,7062500.0,5.0,4.5,10040,37325,2.0,1,2,3,11,7680,2360,1940,2001,98004,47.65,-122.214,3930,25449,"[1253, 1326, 1386, 1715, 1827, 1926]","[919, 1687, 1726, 1746, 1932, 2058]","[868, 879, 911, 916, 1015, 1216]","[1919, 2463, 2652, 3432, 3489, 3498]","[1295, 2947, 3027, 3223, 3345, 3539]","[1096, 1133, 1153, 1451, 2475, 2857]","[1624, 1966, 2176, 2699, 2880, 3162]","[1371, 3220, 3536, 3572, 5052, 5386]","[921, 925, 2926, 2926, 2927, 2960]"
3958,3958,1925059194,20141209T000000,1145000.0,4.0,2.25,2840,20242,1.0,0,0,3,8,2240,600,1972,0,98004,47.639,-122.216,2840,20372,"[839, 1164, 1710, 2231, 2235, 2301]","[587, 628, 1210, 1625, 2079, 2529]","[1259, 1264, 1264, 1329, 1506, 1528]","[1451, 1675, 1680, 3837, 4631, 4686]","[1280, 2423, 2494, 2585, 2750, 2867]","[196, 231, 1537, 2280, 3628, 3911]","[1238, 1667, 2409, 2428, 2840, 3286]","[2065, 2377, 4441, 4649, 4803, 5812]","[2101, 2104, 2585, 2640, 2710, 2771]"
3989,3989,629000615,20141022T000000,1495000.0,4.0,3.25,3070,10375,2.0,0,0,3,10,2180,890,1962,2005,98004,47.5862,-122.198,2500,11194,"[588, 836, 1265, 1311, 1540, 1746]","[1508, 2221, 2314, 2382, 2455, 2456]","[1511, 1866, 2108, 2132, 2207, 2249]","[695, 700, 1237, 2462, 2499, 2557]","[1390, 1697, 1773, 2145, 2267, 2609]","[1705, 3382, 3735, 4271, 6185, 6201]","[2102, 2426, 2511, 2604, 2762, 2798]","[269, 2371, 4230, 4628, 5207, 5708]","[2401, 2424, 2694, 2722, 3007, 3091]"
4027,4027,8964800930,20150317T000000,1350000.0,4.0,2.0,2240,10296,1.0,0,0,5,8,2240,0,1948,0,98004,47.6177,-122.217,2500,10918,"[971, 982, 1068, 1125, 1381, 1559]","[916, 931, 937, 976, 976, 1131]","[929, 935, 972, 981, 985, 1006]","[1651, 2392, 2867, 3686, 4170, 4178]","[1343, 1345, 1362, 1548, 1591, 1765]","[2491, 2526, 3284, 4094, 4578, 5361]","[180, 901, 1472, 1749, 2251, 2415]","[1212, 3603, 4096, 4958, 5524, 5787]","[1151, 1156, 1173, 1199, 1244, 1248]"
4035,4035,685000115,20141007T000000,2150000.0,8.0,6.0,4340,9415,2.0,0,0,3,8,4340,0,1967,0,98004,47.6316,-122.202,2050,9100,"[563, 948, 955, 1406, 2086, 2436]","[384, 816, 1405, 1503, 1536, 1548]","[306, 333, 935, 958, 1072, 1201]","[427, 2659, 2676, 3297, 3931, 4469]","[1091, 1289, 1350, 1362, 1495, 1668]","[1425, 1522, 1562, 2948, 4162, 4240]","[360, 526, 1461, 1968, 2054, 2282]","[2280, 2586, 4820, 5138, 5538, 5600]","[1527, 1580, 1668, 1717, 1763, 1807]"
4070,4070,1872900076,20140620T000000,979000.0,3.0,1.5,1700,14133,1.0,0,1,4,8,1700,0,1954,0,98004,47.6166,-122.22,2630,17376,"[728, 913, 1022, 1282, 1329, 1463]","[1127, 1132, 1161, 1198, 1208, 1355]","[1138, 1138, 1199, 1208, 1213, 1215]","[1899, 2357, 2878, 3830, 4194, 4301]","[1444, 1566, 1586, 1711, 1834, 2003]","[2612, 2654, 3499, 3968, 4747, 5522]","[89, 1142, 1720, 1912, 2478, 2636]","[1045, 3597, 4299, 4804, 5285, 5537]","[1362, 1369, 1387, 1400, 1412, 1452]"
4173,4173,4122500100,20150211T000000,1191000.0,5.0,2.5,2710,14989,1.0,0,0,3,8,1720,990,1959,0,98004,47.6411,-122.207,3180,16624,"[920, 1732, 1740, 1805, 2063, 2071]","[815, 1043, 1286, 1325, 1723, 2080]","[559, 619, 856, 881, 899, 1544]","[1544, 2119, 2388, 3124, 4236, 4270]","[568, 2112, 2346, 2459, 2482, 2613]","[793, 825, 877, 1893, 3185, 3376]","[850, 1608, 2503, 2526, 2805, 2863]","[1443, 2963, 4099, 4529, 5344, 5415]","[1767, 1769, 2614, 2669, 2752, 2806]"
4268,4268,251620090,20140530T000000,2400000.0,4.0,3.25,4140,20734,1.0,0,1,3,10,3300,840,1977,2005,98004,47.6344,-122.215,4020,20008,"[459, 1519, 1805, 1822, 1825, 1911]","[574, 594, 1052, 1560, 2028, 2079]","[994, 1015, 1072, 1078, 1486, 1494]","[1285, 1657, 1668, 3961, 4761, 5098]","[1482, 2024, 2087, 2138, 2314, 2438]","[688, 696, 1725, 2740, 4074, 4312]","[1070, 1234, 1906, 1931, 2890, 2967]","[2008, 2398, 4707, 4924, 5298, 5302]","[2095, 2149, 2215, 2277, 2334, 2371]"
4367,4367,824059211,20141117T000000,800000.0,4.0,1.75,2150,9148,1.0,0,0,4,7,2150,0,1955,0,98004,47.5828,-122.197,2370,9148,"[807, 1218, 1283, 1421, 1798, 1898]","[1817, 2051, 2182, 2272, 2279, 2406]","[1821, 1903, 1908, 1945, 2076, 2079]","[315, 670, 1041, 2198, 2619, 2725]","[1140, 1666, 2048, 2467, 2614, 2678]","[1688, 3149, 3820, 4304, 6191, 6364]","[1889, 2252, 2282, 2686, 2838, 3136]","[622, 2104, 3929, 4865, 4986, 5444]","[2200, 2771, 3079, 3107, 3128, 3211]"
4428,4428,2125059013,20150420T000000,1670000.0,5.0,3.5,4320,40816,2.0,0,0,4,11,4320,0,1997,0,98004,47.644,-122.185,4320,44584,"[1071, 1739, 1843, 2191, 2208, 2370]","[1059, 1559, 1623, 2140, 2201, 2229]","[930, 1045, 1058, 1172, 1554, 1577]","[1475, 2154, 3620, 3786, 3904, 3937]","[1129, 1533, 1990, 2055, 2570, 2593]","[884, 2149, 2468, 2554, 2725, 2892]","[1564, 2323, 2613, 2751, 2808, 2864]","[1179, 3905, 3971, 4245, 4399, 4533]","[2212, 2213, 2731, 2894, 2920, 2987]"
4526,4526,4389201064,20140703T000000,810000.0,3.0,1.5,1520,9041,1.0,0,0,4,7,1520,0,1954,0,98004,47.6158,-122.213,3260,10020,"[646, 762, 1027, 1164, 1353, 1405]","[603, 603, 651, 686, 710, 842]","[609, 614, 696, 709, 721, 725]","[1616, 2747, 3200, 3322, 3804, 3848]","[984, 1036, 1110, 1189, 1354, 1509]","[2732, 2758, 3354, 3908, 4737, 5003]","[501, 673, 1390, 1448, 2104, 2131]","[1563, 3289, 4191, 5317, 5586, 5798]","[850, 886, 887, 888, 890, 922]"
4627,4627,3225059223,20140519T000000,1405000.0,4.0,3.5,3410,10769,2.0,0,0,3,10,3410,0,2008,0,98004,47.6081,-122.198,2650,10058,"[496, 632, 673, 684, 932, 1316]","[265, 347, 482, 508, 613, 630]","[266, 269, 300, 351, 354, 374]","[1941, 2202, 2401, 2630, 3123, 3473]","[403, 470, 695, 796, 1021, 1228]","[3420, 3652, 3876, 3879, 3984, 4393]","[361, 1138, 1281, 1456, 1499, 1894]","[2193, 2943, 4284, 4847, 5162, 5719]","[414, 538, 659, 691, 692, 809]"
4676,4676,824059140,20140527T000000,949880.0,4.0,2.25,2290,10687,2.0,0,0,3,9,2290,0,1978,0,98004,47.5878,-122.202,2290,10300,"[605, 811, 1230, 1480, 1623, 1837]","[1542, 2168, 2327, 2376, 2474, 2497]","[1544, 1596, 2147, 2183, 2354, 2407]","[970, 1027, 1229, 2615, 2644, 2868]","[1426, 1514, 1848, 2137, 2208, 2281]","[1509, 3731, 3960, 4528, 5943, 5963]","[2322, 2450, 2539, 2620, 2770, 2860]","[421, 2718, 4273, 4316, 5533, 5899]","[2362, 2495, 2508, 2700, 2748, 2922]"
4748,4748,644200090,20140715T000000,921000.0,3.0,2.25,2380,11200,1.0,0,0,4,8,2380,0,1963,0,98004,47.5873,-122.193,2010,11200,"[224, 879, 939, 948, 1354, 1699]","[1245, 2018, 2104, 2107, 2160, 2164]","[1249, 1843, 1884, 2010, 2014, 2029]","[387, 842, 1586, 2080, 2150, 2499]","[1465, 1711, 1899, 2069, 2091, 2433]","[2099, 3126, 3342, 3878, 5881, 6092]","[1843, 2129, 2260, 2644, 2972, 2986]","[284, 2164, 4512, 4752, 5089, 5402]","[2126, 2225, 2648, 2696, 2997, 3000]"
4822,4822,2425700005,20150428T000000,760000.0,3.0,1.75,1410,15120,1.0,0,0,4,7,1410,0,1950,0,98004,47.5974,-122.195,1880,15120,"[692, 734, 975, 1114, 1117, 1118]","[525, 979, 1469, 1529, 1616, 1691]","[525, 959, 996, 1443, 1470, 1485]","[1427, 1654, 1880, 1933, 2418, 3409]","[873, 973, 1020, 1488, 1610, 2005]","[2587, 3262, 3935, 3969, 5063, 5071]","[1514, 1938, 2262, 2437, 2474, 2744]","[1007, 3137, 3825, 5342, 5459, 5842]","[1174, 1535, 1598, 1868, 1899, 2019]"
4922,4922,9809000020,20140513T000000,1895000.0,5.0,2.25,3120,16672,2.0,0,0,4,9,3120,0,1969,0,98004,47.6458,-122.219,3740,17853,"[853, 1602, 1747, 1840, 1902, 2200]","[1129, 1164, 1517, 1807, 2081, 2308]","[1392, 1465, 1477, 1507, 1511, 1557]","[1360, 1869, 2414, 3891, 4009, 4082]","[1451, 3094, 3266, 3341, 3385, 3497]","[606, 634, 1673, 1732, 3070, 3453]","[1840, 2196, 2424, 2774, 3171, 3197]","[1852, 2964, 3780, 4096, 4558, 5273]","[1517, 1521, 3368, 3423, 3462, 3464]"
4923,4923,9809000020,20150313T000000,1940000.0,5.0,2.25,3120,16672,2.0,0,0,4,9,3120,0,1969,0,98004,47.6458,-122.219,3740,17853,"[853, 1602, 1747, 1840, 1902, 2200]","[1129, 1164, 1517, 1807, 2081, 2308]","[1392, 1465, 1477, 1507, 1511, 1557]","[1360, 1869, 2414, 3891, 4009, 4082]","[1451, 3094, 3266, 3341, 3385, 3497]","[606, 634, 1673, 1732, 3070, 3453]","[1840, 2196, 2424, 2774, 3171, 3197]","[1852, 2964, 3780, 4096, 4558, 5273]","[1517, 1521, 3368, 3423, 3462, 3464]"
4987,4987,644000185,20140707T000000,875000.0,3.0,1.5,1820,12686,1.0,0,0,4,7,1820,0,1952,0,98004,47.5886,-122.195,3020,11550,"[279, 731, 952, 1125, 1482, 1491]","[1167, 1904, 2310, 2312, 2360, 2365]","[1170, 1893, 1937, 2048, 2091, 2128]","[594, 957, 1586, 2134, 2152, 2691]","[1425, 1736, 1811, 1953, 2013, 2401]","[2015, 3331, 3434, 3996, 5868, 5989]","[2050, 2328, 2467, 2491, 2854, 2866]","[110, 2372, 4545, 4568, 5293, 5596]","[2109, 2329, 2471, 2513, 2838, 2870]"
5162,5162,9320200050,20141216T000000,1500000.0,4.0,2.75,2930,25697,1.0,0,0,4,9,2310,620,1964,0,98004,47.6264,-122.226,3810,20681,"[713, 1407, 1450, 1522, 1546, 1939]","[1053, 1089, 1911, 1914, 1940, 1950]","[1110, 1116, 1343, 1847, 1851, 1896]","[1221, 1701, 1888, 4771, 5110, 5258]","[2139, 2353, 2361, 2511, 2550, 2637]","[1618, 1682, 2928, 3862, 5081, 5212]","[1131, 1734, 1792, 2107, 2832, 3219]","[797, 3605, 4006, 4769, 5094, 5533]","[2061, 2101, 2120, 2181, 2237, 2257]"
5314,5314,3210600010,20141031T000000,635000.0,3.0,2.25,1940,7482,1.0,0,0,4,7,1240,700,1964,0,98004,47.6004,-122.195,2340,9310,"[432, 898, 947, 1151, 1159, 1299]","[585, 697, 1147, 1213, 1311, 1358]","[582, 670, 698, 1127, 1141, 1178]","[1589, 1746, 1904, 2266, 2723, 3079]","[729, 768, 875, 1200, 1282, 1676]","[2833, 3269, 3970, 4217, 4752, 4758]","[1181, 1635, 1964, 2124, 2158, 2613]","[1339, 3423, 3607, 5206, 5701, 5723]","[877, 1231, 1307, 1539, 1570, 1693]"
5488,5488,9533600185,20150401T000000,985000.0,3.0,1.75,1700,8534,1.0,0,0,4,7,1700,0,1953,0,98004,47.6276,-122.205,2100,10443,"[675, 773, 774, 1135, 1640, 1953]","[875, 1099, 1105, 1110, 1170, 1181]","[497, 515, 802, 829, 877, 880]","[310, 2530, 2675, 3701, 3755, 4237]","[988, 1077, 1126, 1250, 1442, 1470]","[1707, 1723, 1916, 3385, 4624, 4630]","[179, 854, 998, 1572, 1838, 1966]","[2199, 2764, 4404, 5521, 5587, 5657]","[1112, 1167, 1248, 1304, 1355, 1397]"
5590,5590,5739600427,20150311T000000,725000.0,3.0,1.75,1630,9000,1.0,0,0,3,7,960,670,1955,0,98004,47.6023,-122.205,1880,9000,"[287, 645, 689, 969, 995, 1031]","[973, 976, 978, 1232, 1303, 1357]","[840, 860, 875, 881, 881, 887]","[2249, 2333, 2563, 2678, 2749, 2853]","[785, 1160, 1231, 1432, 1500, 1652]","[2610, 4034, 4322, 4340, 4668, 4743]","[1186, 1812, 1942, 1979, 2270, 2330]","[1673, 2907, 4014, 5532, 5750, 5838]","[891, 903, 1321, 1380, 1416, 1484]"
5600,5600,9808100185,20141003T000000,1691000.0,4.0,3.5,4020,13515,2.0,0,0,3,11,4020,0,2001,0,98004,47.6462,-122.212,3930,13515,"[1372, 1485, 1493, 1602, 1698, 1994]","[1225, 1382, 1423, 1494, 1665, 1867]","[891, 1077, 1105, 1186, 1187, 1241]","[1859, 2205, 2306, 3365, 3777, 3831]","[959, 2790, 2967, 3107, 3145, 3282]","[763, 840, 1164, 1426, 2775, 3083]","[1529, 1995, 2252, 2463, 3109, 3262]","[1354, 3220, 3594, 3975, 5077, 5465]","[1248, 1251, 3244, 3300, 3314, 3324]"
5662,5662,686900010,20140528T000000,898000.0,5.0,1.5,2680,28014,1.0,0,0,4,8,1450,1230,1963,0,98004,47.6348,-122.196,2900,22180,"[1013, 1196, 1206, 1667, 2010, 2416]","[262, 372, 1452, 1694, 1696, 1881]","[345, 356, 558, 851, 1054, 1158]","[856, 2724, 3005, 3091, 4031, 4563]","[973, 1086, 1300, 1642, 1708, 1721]","[1017, 1730, 1793, 2666, 3785, 3796]","[353, 1017, 1922, 2024, 2336, 2501]","[1878, 3151, 4804, 5157, 5205, 5221]","[1928, 1976, 2068, 2104, 2107, 2127]"
5675,5675,7933250050,20141028T000000,1419000.0,5.0,3.25,4020,4500,2.0,0,0,3,9,3120,900,2010,0,98004,47.6349,-122.204,3550,5775,"[448, 1343, 1350, 1802, 2171, 2183]","[227, 745, 1378, 1404, 1800, 1873]","[260, 260, 897, 1015, 1138, 1157]","[819, 2420, 2492, 3211, 4322, 4859]","[961, 1443, 1738, 1758, 1875, 1891]","[1139, 1185, 1237, 2574, 3816, 3931]","[246, 893, 1811, 2271, 2346, 2662]","[1964, 2654, 4774, 5199, 5224, 5530]","[1902, 1956, 2042, 2094, 2141, 2185]"
5680,5680,6645900010,20141120T000000,1470000.0,4.0,2.5,3030,10189,1.0,0,0,3,9,2380,650,2003,0,98004,47.6367,-122.206,1940,10189,"[481, 1589, 1596, 1951, 2044, 2079]","[422, 860, 1227, 1258, 2039, 2108]","[475, 485, 811, 880, 1145, 1265]","[1057, 2230, 2356, 3244, 4571, 4705]","[842, 1690, 1967, 1998, 2076, 2136]","[958, 1017, 1058, 2376, 3645, 3794]","[452, 1114, 2011, 2379, 2596, 2912]","[1832, 2664, 4581, 5019, 5382, 5416]","[2119, 2174, 2257, 2258, 2260, 2312]"
5735,5735,524059323,20150219T000000,990400.0,3.0,2.5,2100,4097,2.0,0,0,3,9,2100,0,2008,0,98004,47.5983,-122.2,1820,4764,"[578, 745, 821, 852, 1184, 1223]","[896, 1123, 1331, 1368, 1421, 1606]","[895, 1092, 1113, 1285, 1301, 1324]","[1674, 1994, 2051, 2256, 2381, 3282]","[1149, 1209, 1234, 1262, 1496, 1881]","[2417, 3635, 4305, 4316, 4849, 4862]","[1446, 2025, 2288, 2359, 2491, 2556]","[1133, 3433, 3486, 5423, 5642, 5942]","[1287, 1342, 1375, 1747, 1782, 1883]"
5791,5791,2025059134,20150113T000000,810000.0,3.0,2.0,1760,16928,1.0,0,0,3,7,1760,0,1953,0,98004,47.6363,-122.202,3430,10059,"[657, 1432, 1440, 1902, 1979, 2245]","[164, 565, 1524, 1554, 1869, 1910]","[230, 252, 696, 834, 1019, 1048]","[945, 2532, 2650, 3003, 4381, 4714]","[773, 1460, 1779, 1863, 1868, 1981]","[933, 1251, 1314, 2427, 3642, 3737]","[199, 1047, 1978, 2387, 2481, 2703]","[1772, 2867, 4616, 5079, 5340, 5428]","[2049, 2102, 2190, 2239, 2284, 2328]"
5859,5859,4348800080,20140711T000000,641200.0,3.0,1.0,1060,9123,1.0,0,0,3,7,1060,0,1952,0,98004,47.6218,-122.193,1620,9121,"[276, 337, 341, 1281, 1539, 1714]","[356, 456, 507, 677, 683, 721]","[110, 324, 331, 444, 453, 455]","[892, 2651, 3189, 3596, 3669, 3779]","[270, 301, 425, 495, 531, 865]","[2477, 2768, 2795, 3793, 4062, 4124]","[733, 929, 968, 1032, 1093, 1217]","[2964, 3329, 3721, 4679, 5269, 5316]","[776, 794, 868, 872, 875, 881]"
5886,5886,9808590460,20150218T000000,1200000.0,4.0,2.25,2860,10702,2.0,0,0,3,10,2860,0,1982,0,98004,47.6451,-122.189,2890,10572,"[855, 1469, 1637, 2029, 2144, 2401]","[996, 1412, 1436, 1836, 2346, 2442]","[621, 807, 885, 1133, 1467, 1492]","[1705, 2115, 3504, 3740, 3761, 3807]","[854, 1747, 2142, 2260, 2786, 2818]","[599, 1860, 2199, 2286, 2600, 2698]","[1448, 2273, 2406, 2480, 2874, 3003]","[895, 3767, 4057, 4238, 4314, 4340]","[1909, 1909, 2915, 2956, 3049, 3071]"
6073,6073,2925059260,20150506T000000,800000.0,5.0,2.5,3000,10560,1.0,0,0,3,8,1500,1500,1966,0,98004,47.6249,-122.206,2690,11616,"[741, 745, 928, 987, 1347, 1644]","[811, 865, 876, 891, 921, 936]","[396, 399, 616, 620, 636, 683]","[503, 2566, 2786, 3524, 4013, 4056]","[776, 922, 1113, 1188, 1190, 1335]","[1930, 1935, 2225, 3686, 4713, 4938]","[323, 702, 1161, 1310, 1719, 1754]","[2041, 3073, 4120, 5503, 5684, 5890]","[849, 905, 977, 1037, 1092, 1132]"
6172,6172,8084400010,20150316T000000,650000.0,3.0,1.0,920,6750,1.0,0,0,4,7,920,0,1951,0,98004,47.6322,-122.212,1460,8933,"[222, 1495, 1497, 1850, 1865, 1882]","[876, 882, 889, 1411, 1717, 1771]","[709, 732, 876, 890, 1483, 1539]","[964, 1907, 1965, 3879, 4429, 4964]","[1509, 1695, 1779, 1806, 1982, 2116]","[1004, 1007, 1730, 2925, 4238, 4430]","[890, 904, 1597, 1748, 2563, 2646]","[1997, 2481, 4942, 5006, 5126, 5527]","[1774, 1829, 1898, 1959, 2015, 2053]"
